vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2021-AKK-33,202102,162,12,1,49.62,6.94,30,0.3823,0.1293,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.33821606068532567,33.82160606853257,2.956689868522815,2021
2021-AKK-34,202102,162,12,2,42.14,0,10,0.3769,0.1253,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.33244892544441496,33.2448925444415,3.007980845969673,2021
2021-AKK-35,202102,162,12,2,53.59,0,37,0.3109,0.1082,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.34802187198456097,34.802187198456096,2.8733826247689462,2021
2021-AKK-36,202102,162,12,1,55.28,8.89,39,0.3526,0.0874,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.24787294384571754,24.787294384571755,4.034324942791762,2021
2021-AKK-37,202102,162,12,1,52.75,8.33,34,0.3769,0.1185,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.3144070045104802,31.44070045104802,3.1805907172995784,2021
2021-AKK-38,202102,162,12,2,49.43,0,26,0.3496,0.1145,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.3275171624713959,32.75171624713959,3.053275109170306,2021
2021-AKK-39,202102,162,12,2,50.28,0,22,0.265,0.0713,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.2690566037735849,26.905660377358494,3.7166900420757365,2021
2021-AKK-40,202102,162,12,2,51.45,0,25,0.3566,0.1275,0,63.00331,-172.56412,Y-23,61,-1.7,7252021,8,NBS,0.357543466068424,35.754346606842404,2.796862745098039,2021
2021-AKK-41,202102,162,13,1,63.74,10.75,98,0.3087,0.103,0,63.004,-173.21533,Y-24,69,-1.7,7252021,8,NBS,0.33365727243278265,33.365727243278265,2.9970873786407766,2021
2021-AKK-42,202102,162,13,2,56.99,0,47,0.3463,0.1172,0,63.004,-173.21533,Y-24,69,-1.7,7252021,8,NBS,0.33843488304937913,33.843488304937914,2.954778156996587,2021
2021-AKK-43,202102,162,13,1,51.12,8.22,54,0.3475,0.1168,0,63.004,-173.21533,Y-24,69,-1.7,7252021,8,NBS,0.3361151079136691,33.61151079136691,2.975171232876712,2021
